Song Clean,ARTIST CLEAN,Release Year,COMBINED,First?,Year?,PlayCount,F*G
Jaded,Aerosmith,2001,Jaded by Aerosmith,1,1,1,1
Watching the Wheels,John Lennon,1980,Watching the Wheels by John Lennon,1,1,14,14
Sad But True,Metallica,1991,Sad But True by Metallica,1,1,4,4
WAITIN' FOR THE BUS/JESUS JUST LEFT CHICAGO,ZZ Top,1973,WAITIN' FOR THE BUS/JESUS JUST LEFT CHICAGO by ZZ Top,1,1,2,2
Seek & Destroy,Metallica,1983,Seek & Destroy by Metallica,1,1,1,1
I CAN SEE CLEARLY NOW,Johnny Nash,1972,I CAN SEE CLEARLY NOW by Johnny Nash,1,1,2,2
Beth,Kiss,1976,Beth by Kiss,1,1,2,2
Live Wire,AC/DC,,Live Wire by AC/DC,1,0,2,0
Angel,Jimi Hendrix,1971,Angel by Jimi Hendrix,1,1,1,1
Bad Reputation,Joan Jett,1981,Bad Reputation by Joan Jett,1,1,1,1
Cry Me a River,Joe Cocker,,Cry Me a River by Joe Cocker,1,0,1,0
Bring It On Home,Led Zeppelin,1969,Bring It On Home by Led Zeppelin,1,1,1,1
Dr. Feelgood,Motley Crue,1989,Dr. Feelgood by Motley Crue,1,1,17,17
